id,release_date,names,likes,dislikes,views,duration,age_days,males,females,Вова_Бухаров,Тимур_Джанкезов,Иван_Явиц,Юля_Жеребцова,Андрей_Цеховский,Нидаль_Абу-Газале,Костя_Широков,Ньургун_Атаков,Дима_Гаврилов,Гурам_Демидов,Фил_Воронин,Коля_Андреев,Толя_Бороздин,Давид_Квахаджелидзе,Саша_Киселев,Егор_Александров,Игорь_Тарлецкий,Ольга_Малащенко,Кирилл_Ферапонтов,Самвел_Гиновян,Хетаг_Хугаев,Расул_Чабдаров,Сержан_Аманов,Тимур_Хамадуллин,Эдуард_Чернышенко,Ариана_Лолаева,Михаил_Босов,Эд_Овсепян,Вадим_Постильный,Артем_Калантарян,Ирина_Приходько,Алексей_Соловьев,Артем_Андреев,Ваня_Усович,Семен_Деяк,Николай_Андреев,Эдик_Чернышенко,Олег_Боярский,Саша_Ни,Салават_Дюсенгалиев,Чермен_Качмазов,Вася_Медведев,Данила_Поперечный,Марат_Секаев,Артем_Емельянов,Александр_Киселев,Александр_Долгополов,Артур_Чапарян,Иван_Ильин,Коля_Болт,Сева_Ловкачев,Денис_Антипин,Никита_Дубровский,Руслан_Халитов,Миша_Кострецов,Эльдар_Гусейнов,Алексей_Квашонкин,Денис_Чужой,Дима_Коваль,Леша_Шамутило,Алексей_Шамутило,Андрей_Шарапов,Даниил_Слободенюк,Ара_Акопян,Наташа_Судьина,Илья_Овечкин,Яся_Тринадцатко,Богдан_Лисевский,Илья_Бурков,Лиза_Аранова,Андрей_Айрапетов,Костя_Пушкин,Туяна_Хоровиц,Павел_Сбродов,Баграт_Казарян,Гарик_Оганисян,Соня_Медовщикова,Аля_Кокушкина,Ваня_Ильин,Дима_Колыбелкин,Саша_Малой,Дмитрий_Романов,Василий_Медведев,Ника_Тарасевич,Данил_Гугунава,Лука_Хиникадзе,Филипп_Воронин,Егор_Свирский,Лев_Еременко,Идрак_Мирзализаде,Гоша_Сморгуленко,Владимир_Бухаров,Павел_Кривец,Маргарита_Якобсон,Денис_Смирнов,Марк_Сергиенко,Вера_Котельникова,Сергей_Орлов,Женя_Сидоров,Сергей_Зорик,Дмитрий_Колыбелкин,Кирилл_Селегей,Лев_Марсел,Костя_Захарин,Ярослава_Тринадцатко
12.0,2019-12-20,"['Александр_Долгополов', 'Коля_Андреев', 'Эльдар_Гусейнов', 'Василий_Медведев', 'Денис_Антипин']",36206,1314,1584538,54.0,1042,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0,2020-01-24,"['Алексей_Квашонкин', 'Дима_Коваль', 'Эльдар_Гусейнов', 'Чермен_Качмазов', 'Илья_Овечкин']",29497,875,1033426,26.0,1007,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,2020-03-20,"['Идрак_Мирзализаде', 'Руслан_Халитов', 'Александр_Киселев', 'Кирилл_Селегей', 'Никита_Дубровский']",23387,830,845422,30.0,951,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15.0,2020-05-03,"['Тимур_Джанкезов', 'Ярослава_Тринадцатко', 'Василий_Медведев', 'Эльдар_Гусейнов', 'Женя_Сидоров']",30918,1463,1265607,52.0,907,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
16.0,2020-06-20,"['Вера_Котельникова', 'Гарик_Оганисян', 'Костя_Пушкин', 'Вова_Бухаров', 'Василий_Медведев']",33264,777,864524,40.0,859,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17.0,2020-08-14,"['Идрак_Мирзализаде', 'Эльдар_Гусейнов', 'Саша_Малой', 'Павел_Кривец', 'Владимир_Бухаров']",38003,1622,1770806,65.0,804,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18.0,2020-08-28,"['Александр_Киселев', 'Дима_Гаврилов', 'Давид_Квахаджелидзе', 'Коля_Андреев', 'Эльдар_Гусейнов']",26471,929,1078127,58.0,790,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0,2020-09-25,"['Сева_Ловкачев', 'Нидаль_Абу-Газале', 'Гарик_Оганисян', 'Кирилл_Селегей', 'Эльдар_Гусейнов']",30814,683,1004841,54.0,762,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21.0,2020-10-09,"['Андрей_Шарапов', 'Денис_Антипин', 'Женя_Сидоров', 'Сергей_Орлов', 'Эльдар_Гусейнов']",39688,1060,1689825,51.0,748,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
22.0,2020-10-25,"['Василий_Медведев', 'Артем_Калантарян', 'Сержан_Аманов', 'Артем_Андреев', 'Дима_Коваль']",27809,1567,840704,34.0,732,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.0,2020-11-08,"['Владимир_Бухаров', 'Коля_Андреев', 'Денис_Антипин', 'Андрей_Цеховский', 'Дима_Гаврилов']",22734,725,696087,30.0,718,5,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24.0,2020-11-22,"['Сергей_Орлов', 'Марат_Секаев', 'Владимир_Бухаров', 'Эльдар_Гусейнов', 'Данил_Гугунава']",37886,841,1469324,38.0,704,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
25.0,2020-12-07,"['Иван_Ильин', 'Артем_Калантарян', 'Алексей_Шамутило', 'Эльдар_Гусейнов', 'Саша_Малой']",59737,1766,2007366,53.0,689,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.0,2020-12-20,"['Илья_Овечкин', 'Николай_Андреев', 'Эльдар_Гусейнов', 'Кирилл_Селегей', 'Саша_Малой']",50414,1139,1547320,40.0,676,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27.0,2021-01-06,"['Николай_Андреев', 'Костя_Пушкин', 'Сергей_Орлов', 'Эльдар_Гусейнов', 'Лев_Еременко']",46108,834,1374680,39.0,659,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28.0,2021-01-17,"['Сергей_Орлов', 'Кирилл_Селегей', 'Лиза_Аранова', 'Вася_Медведев', 'Эльдар_Гусейнов']",42169,928,1279917,46.0,648,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
